0, 4, 13418, 16481, 0, 1252, 19023, 459, 477, 176, 182, 15.19408945686901, 50, 6214, 15900, 2
0, 4, 50, 38, 0, 2884, 594, 732, 2318, 270, 809, 0.2059639389736477, 4, 25091, 2318, 1
0, 4, 1334, 2119, 0, 2849, 4953, 6, 7, 3, 3, 1.7385047385047385, 122, 562, 200, 66
0, 4, 12, 1030, 0, 2004, 2092, 64, 69, 121, 115, 1.0439121756487026, 24, 2450, 255, 10
0, 4, 199, 2105, 0, 1769, 1839, 3306, 3463, 1527, 1571, 1.0395703787450536, 84, 2796, 6968, 33
0, 4, 91, 2131, 0, 274, 4036, 50, 53, 6, 7, 14.72992700729927, 260.57296512619166, 1320939.9472922746, 1898.647233331547, 64.16118236775573
0, 4, 283, 37305, 0, 3630, 73079, 6135, 6289, 3961, 4115, 20.131955922865014, 351.8391461509116, 896464.927961599, 398831.77261093707, 63.64929277101918
0, 4, 30, 2857857, 1, 1499, 7299, 70714, 73311, 19395, 19933, 4.8692461641094065, 347.82783729789304, 3544483.9235302117, 11000919.706721554, 40.0002012892577
0, 4, 21, 7144, 0, 750, 8114, 1115, 1120, 1332, 1331, 10.818666666666667, 261.5632679742168, 208784.871621603, 81789.23248777448, 42.70420701619866
0, 4, 183, 520, 0, 3004, 29481, 2, 4, 2, 3, 9.813914780292944, 248.28704251577966, 2528689.5186669584, 41.80343062765678, 183.68174063667374
0, 4, 147, 204, 0, 3167, 25482, 2520, 2852, 8927, 9670, 8.046100410483106, 430.5199909499915, 3056821.740767337, 8471.94112844305, 309.368636712808
0, 4, 893, 5008, 0, 377, 11184, 28416, 28385, 8472, 8478, 29.6657824933687, 1151.1503414146703, 51070.78489686184, 183832.95377221575, 483.48314339416146
0, 4, 1039, 9058, 0, 912, 39657, 2, 3, 2, 2, 43.483552631578945, 1982.6486613375505, 76097.84158440307, 2291.503477927822, 727.3032777770914
0, 4, 5042, 371216, 1, 3515, 95025, 4500, 5798, 18503, 22405, 27.034139402560456, 796.0159716498281, 356097.7449175506, 127712.80249149841, 378.1075865336683
0, 4, 54, 44604, 0, 743, 1179, 532, 545, 2324, 2536, 1.5868102288021535, 92, 135382, 42222, 13
0, 4, 3, 309486, 1, 415, 1193, 1513, 1617, 543, 571, 2.874698795180723, 100, 140947, 254893, 4
0, 4, 123, 120, 0, 17, 103, 92, 101, 22, 24, 6.0588235294117645, 0, 0, 0, 0
0, 4, 7, 125940, 0, 1020, 4288, 13709, 14106, 2505, 2591, 4.203921568627451, 328.74500859164317, 92855.67140175258, 617522.8427637573, 143.00407873736478
0, 4, 889, 2284, 0, 1299, 20002, 20336, 20958, 7384, 7693, 15.397998460354119, 522.069026537214, 981280.9422793475, 56759.34456512591, 143.56898229773387
0, 4, 472, 1468, 0, 1910, 30541, 19, 21, 4, 3, 15.990052356020943, 489.0953293134733, 34706.20456808407, 9204.774097679567, 58.69143951761679
0, 4, 254, 25, 0, 2672, 1676, 1290, 1764, 9919, 13432, 0.6272455089820359, 206.2011672927298, 2249885.9304118585, 2003.6921508647076, 99.97632353586899
0, 4, 114, 2225, 0, 211, 14532, 309, 583, 223, 419, 68.87203791469194, 2457.8519045703497, 556385.3080422068, 29706.32175016245, 711.1551195964971
0, 4, 222, 17234, 0, 2772, 139031, 17179, 17642, 68041, 70060, 50.15548340548341, 780.4588486360843, 2428600.626831822, 109447.6466384813, 319.9881279407946
0, 4, 72, 21232, 0, 126, 3214, 2379, 3313, 1368, 1952, 25.50793650793651, 524.8921180450723, 654748.7617252389, 46676.51760837846, 277.7206973783451
0, 4, 0, 127734, 0, 3221, 7638, 7261, 7378, 5453, 5492, 2.371313256752561, 78, 19143, 49796, 0
0, 4, 1, 76570, 0, 78, 44, 16427, 17457, 9925, 10250, 0.5641025641025641, 70.88516205252863, 478100.57019893086, 725963.2986447667, 0.0
0, 4, 15, 86081, 0, 905, 4254, 997, 985, 1797, 1734, 4.700552486187846, 104, 86828, 45482, 55
0, 4, 7446, 10840, 0, 1638, 9614, 5729, 12261, 2877, 6045, 5.869352869352869, 580.6460059203876, 4562889.335301947, 40577.771635961624, 425.22055989119286
0, 4, 2348, 22880, 1, 3102, 16994, 693, 690, 558, 557, 5.478401031592521, 235.87902034934316, 27324.225717267913, 9471.722062127874, 196.95898199170153
0, 4, 273, 754, 0, 2404, 906, 6, 7, 2, 2, 0.3768718801996672, 30, 72, 55, 14
0, 4, 3066, 30794, 0, 371, 28592, 935, 936, 78, 77, 77.06738544474393, 1742.5440191887287, 4652.592531233906, 147915.84906883523, 1071.6645718010682
0, 4, 423, 2159, 0, 828, 85708, 3332, 8763, 1619, 4106, 103.512077294686, 1307.1161747201088, 10901620.936572628, 59324.49603133245, 995.2661228833315
0, 4, 2024, 264677, 1, 2535, 35949, 793, 808, 465, 478, 14.181065088757396, 557.5201966254265, 18662.988582036152, 10308.548435604136, 136.59244817322949
0, 4, 38, 28695, 0, 1364, 6247, 1112, 1127, 2402, 2447, 4.579912023460411, 404.2294376345092, 119116.309534949, 64036.00636287078, 88.93047627959203
0, 4, 8974, 8989, 0, 1954, 9606, 25, 32, 13, 16, 4.916069600818833, 894.3652989813064, 20150.050186048833, 1860.2798218811174, 563.4501383582231
0, 4, 203, 38131, 0, 3277, 12764, 126, 138, 36, 36, 3.8950259383582546, 54, 7506, 1571, 19
0, 4, 120, 3637, 0, 542, 16134, 11345, 11386, 23558, 23147, 29.767527675276753, 821.2858052196053, 403386.84252068744, 88990.42342457034, 41.064290260980265
