,detector,mode,window_small,window_large,standard,fn,fp,sides
99,ratio,individual,10,300,42.16,55.69,38.91,1
100,ratio,individual,10,360,41.66,56.13,39.6,1
101,ratio,individual,10,420,42.04,56.45,39.14,1
102,ratio,individual,10,480,42.17,56.92,39.25,1
103,ratio,individual,10,540,42.41,57.25,39.67,1
104,ratio,individual,10,600,43.31,58.24,40.91,1
105,ratio,individual,10,660,43.59,58.08,40.49,1
106,ratio,individual,10,720,44.63,58.78,40.97,1
107,ratio,individual,10,780,44.61,59.05,40.78,1
108,ratio,individual,10,840,44.42,59.79,39.64,1
109,ratio,individual,10,900,44.97,60.13,40.26,1
110,ratio,individual,10,960,45.13,59.92,40.55,1
111,ratio,individual,10,1020,45.24,60.04,40.58,1
112,ratio,individual,10,1080,45.6,60.29,39.68,1
113,ratio,individual,10,1140,45.74,60.38,39.96,1
114,ratio,individual,10,1200,45.51,59.94,39.87,1
115,ratio,individual,10,1260,45.61,60.0,39.21,1
116,ratio,individual,10,1320,45.51,60.23,39.39,1
117,ratio,individual,10,1380,45.51,60.19,39.61,1
118,ratio,individual,10,1440,45.37,60.13,39.61,1
119,ratio,individual,10,1500,45.46,60.19,39.25,1
120,ratio,individual,10,1560,45.51,60.22,39.24,1
121,ratio,individual,10,1620,45.46,60.19,38.82,1
122,ratio,individual,10,1680,44.7,59.76,39.3,1
123,ratio,individual,10,1740,44.33,59.63,39.28,1
124,ratio,individual,10,1800,44.28,59.47,39.75,1
125,ratio,individual,10,1860,44.47,59.49,40.13,1
126,ratio,individual,10,1920,44.76,59.54,40.36,1
127,ratio,individual,10,1980,44.96,59.86,40.83,1
128,ratio,individual,10,2040,45.47,59.92,41.23,1
129,ratio,individual,10,2100,45.56,59.82,41.32,1
130,ratio,individual,10,2160,45.8,59.89,41.36,1
131,ratio,individual,10,2220,46.08,60.17,41.23,1
132,ratio,individual,10,2280,46.32,60.36,41.29,1
133,ratio,individual,10,2340,46.41,60.49,41.48,1
134,ratio,individual,10,2400,46.5,60.56,41.67,1
135,ratio,individual,10,2460,46.27,60.5,41.31,1
136,ratio,individual,10,2520,46.38,60.67,41.42,1
137,ratio,individual,10,2580,46.33,60.8,41.56,1
138,ratio,individual,10,2640,46.43,60.84,41.65,1
139,ratio,individual,10,2700,46.47,61.05,41.65,1
140,ratio,individual,10,2760,46.43,61.22,41.53,1
141,ratio,individual,10,2820,46.4,61.26,41.62,1
142,ratio,individual,10,2880,46.38,61.38,41.94,1
143,ratio,individual,10,2940,46.48,61.41,41.94,1
144,ratio,individual,10,3000,46.57,61.43,42.13,1
145,ratio,individual,10,3060,46.71,61.37,42.6,1
146,ratio,individual,10,3120,46.9,61.31,42.42,1
147,ratio,individual,10,3180,47.07,61.4,42.23,1
148,ratio,individual,10,3240,47.12,61.72,42.7,1
149,ratio,individual,10,3300,46.59,61.75,42.13,1
150,ratio,individual,10,3360,46.46,61.53,42.28,1
151,ratio,individual,10,3420,46.51,61.43,42.37,1
152,ratio,individual,10,3480,46.6,61.47,42.37,1
153,ratio,individual,10,3540,46.6,61.43,42.46,1
154,ratio,individual,10,3600,46.76,61.59,42.84,1
155,ratio,individual,10,3660,46.57,61.75,42.84,1
156,ratio,individual,10,3720,46.52,61.76,42.84,1
157,ratio,individual,10,3780,46.68,61.86,42.75,1
158,ratio,individual,10,3840,46.99,62.08,42.75,1
159,ratio,individual,10,3900,46.9,62.01,42.75,1
