timestamp,value
"2020-01-04 08:05:00",1
"2020-01-04 08:10:00",1
"2020-01-04 08:15:00",2
"2020-01-04 08:50:00",1
"2020-01-04 09:00:00",2
"2020-01-04 09:50:00",1
"2020-01-04 10:00:00",1
"2020-01-04 10:25:00",1
"2020-01-04 10:30:00",1
"2020-01-04 11:10:00",2
"2020-01-04 11:25:00",1
"2020-01-04 11:30:00",1
"2020-01-04 12:15:00",1
"2020-01-04 12:30:00",1
"2020-01-04 12:45:00",1
"2020-01-04 13:00:00",1
"2020-01-04 13:35:00",3
"2020-01-04 13:50:00",2
"2020-01-04 13:55:00",1
"2020-01-04 14:00:00",1
"2020-01-04 14:25:00",1
"2020-01-04 14:40:00",1
"2020-01-04 14:55:00",1
"2020-01-04 17:20:00",2
"2020-01-04 17:40:00",1
"2020-01-04 18:00:00",1
"2020-01-04 19:45:00",1
"2020-01-04 21:55:00",1
"2020-01-04 22:40:00",1
"2020-01-04 23:00:00",1
"2020-01-04 23:10:00",1
"2020-01-04 23:20:00",1
"2020-01-04 23:40:00",1
"2020-01-05 00:15:00",1
"2020-01-05 00:25:00",1
"2020-01-05 00:45:00",1
"2020-01-05 01:00:00",1
"2020-01-05 01:30:00",1
"2020-01-05 01:40:00",3
"2020-01-05 02:05:00",1
"2020-01-05 02:30:00",1
"2020-01-05 02:40:00",1
"2020-01-05 03:55:00",1
"2020-01-05 09:35:00",2
"2020-01-05 09:40:00",2
"2020-01-05 10:10:00",1
"2020-01-05 10:35:00",1
"2020-01-05 11:00:00",2
"2020-01-05 11:15:00",1
"2020-01-05 11:20:00",1
"2020-01-05 11:30:00",1
"2020-01-05 11:45:00",2
"2020-01-05 11:55:00",1
"2020-01-05 12:05:00",1
"2020-01-05 12:10:00",1
"2020-01-05 12:25:00",1
"2020-01-05 12:35:00",1
"2020-01-05 12:50:00",1
"2020-01-05 13:00:00",1
"2020-01-05 13:30:00",1
"2020-01-05 13:40:00",1
"2020-01-05 13:45:00",1
"2020-01-05 14:25:00",1
"2020-01-05 14:40:00",2
"2020-01-05 15:05:00",1
"2020-01-05 15:20:00",1
"2020-01-05 15:35:00",1
"2020-01-05 15:45:00",2
"2020-01-05 16:00:00",1
"2020-01-05 16:05:00",1
"2020-01-05 16:10:00",1
"2020-01-05 16:15:00",1
"2020-01-05 16:30:00",1
"2020-01-05 16:40:00",1
"2020-01-05 16:55:00",1
"2020-01-05 17:05:00",1
"2020-01-05 19:10:00",2
"2020-01-05 19:20:00",1
"2020-01-05 19:25:00",1
"2020-01-05 20:00:00",1
"2020-01-05 20:05:00",1
"2020-01-05 20:10:00",1
"2020-01-05 21:00:00",1
"2020-01-05 21:10:00",1
"2020-01-05 21:20:00",2
"2020-01-05 21:30:00",1
"2020-01-05 22:15:00",1
"2020-01-05 22:20:00",1
"2020-01-05 22:25:00",1
"2020-01-05 22:55:00",1
"2020-01-05 23:15:00",1
"2020-01-05 23:25:00",2
"2020-01-06 00:30:00",2
"2020-01-06 01:30:00",1
"2020-01-06 02:25:00",1
"2020-01-06 04:45:00",1
"2020-01-06 05:05:00",1
"2020-01-06 05:40:00",1
"2020-01-06 06:10:00",2
"2020-01-06 06:15:00",1
"2020-01-06 06:20:00",2
"2020-01-06 06:30:00",1
"2020-01-06 06:55:00",2
"2020-01-06 07:05:00",1
"2020-01-06 07:10:00",1
"2020-01-06 08:35:00",3
"2020-01-06 08:40:00",1
"2020-01-06 08:45:00",1
"2020-01-06 08:50:00",1
"2020-01-06 09:40:00",1
"2020-01-06 09:45:00",1
"2020-01-06 09:50:00",2
"2020-01-06 09:55:00",3
"2020-01-06 10:00:00",3
"2020-01-06 10:40:00",1
"2020-01-06 11:00:00",1
"2020-01-06 11:25:00",1
"2020-01-06 11:30:00",1
"2020-01-06 11:50:00",1
"2020-01-06 12:20:00",2
"2020-01-06 12:25:00",1
"2020-01-06 12:55:00",1
"2020-01-06 13:00:00",1
"2020-01-06 13:05:00",1
"2020-01-06 13:10:00",1
"2020-01-06 13:15:00",2
"2020-01-06 13:20:00",5
"2020-01-06 13:40:00",2
"2020-01-06 14:25:00",1
"2020-01-06 14:35:00",1
"2020-01-06 14:50:00",1
"2020-01-06 15:00:00",2
"2020-01-06 15:05:00",1
"2020-01-06 15:10:00",1
"2020-01-06 15:15:00",1
"2020-01-06 15:25:00",1
"2020-01-06 15:30:00",3
"2020-01-06 15:45:00",1
"2020-01-06 16:05:00",1
"2020-01-06 16:40:00",1
"2020-01-06 16:50:00",1
"2020-01-06 18:00:00",1
"2020-01-06 18:05:00",2
"2020-01-06 18:10:00",1
"2020-01-06 18:20:00",1
"2020-01-06 18:25:00",1
"2020-01-06 18:35:00",2
"2020-01-06 18:45:00",1
"2020-01-06 19:00:00",2
"2020-01-06 19:25:00",1
"2020-01-06 20:10:00",1
"2020-01-06 20:20:00",1
"2020-01-06 20:25:00",1
"2020-01-06 20:50:00",2
"2020-01-06 20:55:00",1
"2020-01-06 21:45:00",1
"2020-01-06 21:55:00",1
"2020-01-06 22:00:00",1
"2020-01-06 22:10:00",2
"2020-01-06 22:20:00",1
"2020-01-06 22:30:00",1
"2020-01-06 22:45:00",1
"2020-01-06 22:55:00",1
"2020-01-07 00:00:00",1
"2020-01-07 00:05:00",1
"2020-01-07 00:40:00",1
"2020-01-07 01:05:00",1
"2020-01-07 01:10:00",3
"2020-01-07 01:20:00",2
"2020-01-07 01:25:00",1
"2020-01-07 01:50:00",1
"2020-01-07 02:10:00",1
"2020-01-07 02:30:00",1
"2020-01-07 03:00:00",1
"2020-01-07 03:15:00",1
"2020-01-07 03:45:00",3
"2020-01-07 04:00:00",1
"2020-01-07 04:15:00",1
"2020-01-07 04:20:00",1
"2020-01-07 04:25:00",3
"2020-01-07 04:30:00",1
"2020-01-07 04:35:00",1
"2020-01-07 04:40:00",2
"2020-01-07 04:55:00",2
"2020-01-07 05:00:00",1
"2020-01-07 05:10:00",2
"2020-01-07 05:15:00",1
"2020-01-07 05:30:00",1
"2020-01-07 05:40:00",2
"2020-01-07 05:55:00",1
"2020-01-07 06:10:00",1
"2020-01-07 06:15:00",1
"2020-01-07 06:25:00",1
"2020-01-07 06:40:00",2
"2020-01-07 06:55:00",3
"2020-01-07 07:05:00",1
"2020-01-07 07:10:00",2
"2020-01-07 07:30:00",3
"2020-01-07 07:45:00",1
"2020-01-07 08:00:00",1
"2020-01-07 08:05:00",1
"2020-01-07 08:10:00",1
"2020-01-07 08:20:00",1
"2020-01-07 08:25:00",1
"2020-01-07 08:35:00",1
"2020-01-07 08:50:00",2
"2020-01-07 09:00:00",2
"2020-01-07 09:05:00",1
"2020-01-07 09:10:00",1
"2020-01-07 09:15:00",1
"2020-01-07 09:20:00",3
"2020-01-07 09:25:00",1
"2020-01-07 09:30:00",2
"2020-01-07 09:35:00",3
"2020-01-07 09:50:00",2
"2020-01-07 09:55:00",1
"2020-01-07 10:00:00",2
"2020-01-07 10:15:00",3
"2020-01-07 10:30:00",2
"2020-01-07 10:40:00",1
"2020-01-07 10:50:00",1
"2020-01-07 11:00:00",1
"2020-01-07 11:10:00",1
"2020-01-07 11:30:00",2
"2020-01-07 11:40:00",1
"2020-01-07 11:45:00",1
"2020-01-07 11:50:00",1
"2020-01-07 12:05:00",3
"2020-01-07 12:15:00",2
"2020-01-07 12:20:00",1
"2020-01-07 12:30:00",2
"2020-01-07 12:40:00",2
"2020-01-07 12:50:00",1
"2020-01-07 13:00:00",1
"2020-01-07 13:20:00",3
"2020-01-07 13:30:00",1
"2020-01-07 13:35:00",1
"2020-01-07 14:00:00",2
"2020-01-07 14:05:00",2
"2020-01-07 14:15:00",1
"2020-01-07 14:20:00",2
"2020-01-07 14:25:00",1
"2020-01-07 14:35:00",1
"2020-01-07 14:40:00",1
"2020-01-07 14:45:00",1
"2020-01-07 15:05:00",1
"2020-01-07 15:25:00",2
"2020-01-07 15:30:00",1
"2020-01-07 15:35:00",1
"2020-01-07 15:40:00",1
"2020-01-07 15:45:00",3
"2020-01-07 15:50:00",1
"2020-01-07 16:00:00",1
"2020-01-07 16:10:00",1
"2020-01-07 16:15:00",2
"2020-01-07 16:30:00",2
"2020-01-07 16:50:00",1
"2020-01-07 16:55:00",2
"2020-01-07 17:00:00",1
"2020-01-07 17:05:00",1
"2020-01-07 17:25:00",1
"2020-01-07 17:30:00",2
"2020-01-07 17:35:00",3
"2020-01-07 17:40:00",1
"2020-01-07 17:45:00",2
"2020-01-07 17:55:00",1
"2020-01-07 18:00:00",1
"2020-01-07 18:10:00",3
"2020-01-07 18:15:00",1
"2020-01-07 18:20:00",3
"2020-01-07 18:25:00",1
"2020-01-07 18:30:00",1
"2020-01-07 18:40:00",1
"2020-01-07 18:50:00",1
"2020-01-07 19:15:00",2
"2020-01-07 19:20:00",1
"2020-01-07 19:25:00",2
"2020-01-07 19:30:00",1
"2020-01-07 19:40:00",2
"2020-01-07 20:10:00",1
"2020-01-07 20:20:00",1
"2020-01-07 20:25:00",1
"2020-01-07 20:30:00",1
"2020-01-07 20:35:00",1
"2020-01-07 20:45:00",1
"2020-01-07 21:00:00",1
"2020-01-07 21:05:00",1
"2020-01-07 21:10:00",1
"2020-01-07 21:20:00",1
"2020-01-07 21:25:00",2
"2020-01-07 21:30:00",1
"2020-01-07 21:35:00",2
"2020-01-07 21:40:00",3
"2020-01-07 21:45:00",1
"2020-01-07 21:50:00",1
"2020-01-07 21:55:00",1
