timestamp,value,anomaly_score
2020-01-02 10:20:00,4,0.0
2020-01-02 10:25:00,5,0.0
2020-01-02 10:30:00,6,0.0
2020-01-02 10:35:00,2,0.0
2020-01-02 10:40:00,10,0.0
2020-01-02 10:45:00,3,0.0
2020-01-02 10:50:00,1,0.0
2020-01-02 10:55:00,1,0.0
2020-01-02 11:00:00,5,0.0
2020-01-02 11:05:00,3,0.0
2020-01-02 11:10:00,5,0.0
2020-01-02 11:15:00,2,0.0
2020-01-02 11:20:00,6,0.0
2020-01-02 11:25:00,2,0.0
2020-01-02 11:30:00,1,0.0
2020-01-02 11:35:00,5,0.0
2020-01-02 11:40:00,4,0.0
2020-01-02 11:45:00,2,0.0
2020-01-02 11:50:00,5,0.0
2020-01-02 11:55:00,2,0.0
2020-01-02 12:00:00,7,0.0
2020-01-02 12:05:00,6,0.0
2020-01-02 12:10:00,3,0.0
2020-01-02 12:15:00,2,0.0
2020-01-02 12:20:00,5,0.0
2020-01-02 12:25:00,7,0.0
2020-01-02 12:30:00,2,0.0
2020-01-02 12:35:00,6,0.0
2020-01-02 12:40:00,4,0.0
2020-01-02 12:45:00,2,0.0
2020-01-02 12:50:00,5,0.0
2020-01-02 12:55:00,6,0.0
2020-01-02 13:00:00,6,0.0
2020-01-02 13:05:00,2,0.0
2020-01-02 13:10:00,3,0.0
2020-01-02 13:15:00,7,0.0
2020-01-02 13:20:00,5,0.0
2020-01-02 13:25:00,5,0.0
2020-01-02 13:30:00,6,0.0
2020-01-02 13:35:00,7,0.0
2020-01-02 13:40:00,1,0.0
2020-01-02 13:45:00,2,0.0
2020-01-02 13:50:00,5,0.0
2020-01-02 13:55:00,3,0.0
2020-01-02 14:00:00,11,0.0
2020-01-02 14:05:00,8,0.0
2020-01-02 14:10:00,4,0.0
2020-01-02 14:15:00,5,0.0
2020-01-02 14:20:00,10,0.0
2020-01-02 14:25:00,7,0.0
2020-01-02 14:30:00,6,0.0
2020-01-02 14:35:00,11,0.0
2020-01-02 14:40:00,13,0.0
2020-01-02 14:45:00,9,0.0
2020-01-02 14:50:00,6,0.0
2020-01-02 14:55:00,9,0.0
2020-01-02 15:00:00,5,0.0
2020-01-02 15:05:00,5,0.0
2020-01-02 15:10:00,7,0.0
2020-01-02 15:15:00,17,0.0
2020-01-02 15:20:00,7,0.0
2020-01-02 15:25:00,8,0.0
2020-01-02 15:30:00,16,0.0
2020-01-02 15:35:00,4,0.0
2020-01-02 15:40:00,12,0.0
2020-01-02 15:45:00,5,0.0
2020-01-02 15:50:00,10,0.0
2020-01-02 15:55:00,9,0.0
2020-01-02 16:00:00,10,0.0
2020-01-02 16:05:00,9,0.0
2020-01-02 16:10:00,9,0.0
2020-01-02 16:15:00,10,0.0
2020-01-02 16:20:00,11,0.0
2020-01-02 16:25:00,6,0.0
2020-01-02 16:30:00,8,0.0
2020-01-02 16:35:00,17,0.0
2020-01-02 16:40:00,13,0.0
2020-01-02 16:45:00,6,0.0
2020-01-02 16:50:00,10,0.0
2020-01-02 16:55:00,9,0.0
2020-01-02 17:00:00,5,0.0
2020-01-02 17:05:00,3,0.0
2020-01-02 17:10:00,15,0.0
2020-01-02 17:15:00,9,0.0
2020-01-02 17:20:00,6,0.0
2020-01-02 17:25:00,4,0.0
2020-01-02 17:30:00,3,0.0
2020-01-02 17:35:00,3,0.0
2020-01-02 17:40:00,4,0.0
2020-01-02 17:45:00,8,0.0
2020-01-02 17:50:00,10,0.0
2020-01-02 17:55:00,8,0.0
2020-01-02 18:00:00,7,0.0
2020-01-02 18:05:00,8,0.0
2020-01-02 18:10:00,5,0.0
2020-01-02 18:15:00,4,0.0
2020-01-02 18:20:00,3,0.0
2020-01-02 18:25:00,3,0.0
2020-01-02 18:30:00,7,0.0
2020-01-02 18:35:00,5,0.0
2020-01-02 18:40:00,1,0.0
2020-01-02 18:45:00,3,0.0
2020-01-02 18:50:00,7,0.0
2020-01-02 18:55:00,8,0.0
2020-01-02 19:00:00,8,0.0
2020-01-02 19:05:00,4,0.0
2020-01-02 19:10:00,1,0.0
2020-01-02 19:15:00,1,0.0
2020-01-02 19:20:00,6,0.0
2020-01-02 19:25:00,3,0.0
2020-01-02 19:30:00,4,0.0
2020-01-02 19:35:00,4,0.0
2020-01-02 19:40:00,2,0.0
2020-01-02 19:45:00,6,0.0
2020-01-02 19:50:00,3,0.0
2020-01-02 19:55:00,5,0.0
2020-01-02 20:00:00,3,0.0
2020-01-02 20:05:00,5,0.0
2020-01-02 20:10:00,4,0.0
2020-01-02 20:15:00,5,0.0
2020-01-02 20:20:00,5,0.0
2020-01-02 20:25:00,4,0.0
2020-01-02 20:30:00,5,0.0
2020-01-02 20:35:00,5,0.0
2020-01-02 20:40:00,3,0.0
2020-01-02 20:45:00,2,0.0
2020-01-02 20:50:00,3,0.0
2020-01-02 20:55:00,4,0.0
2020-01-02 21:00:00,5,0.0
2020-01-02 21:05:00,7,0.0
2020-01-02 21:10:00,6,0.0
2020-01-02 21:15:00,4,0.0
2020-01-02 21:20:00,5,0.0
2020-01-02 21:25:00,3,0.0
2020-01-02 21:30:00,1,0.0
2020-01-02 21:35:00,4,0.0
2020-01-02 21:40:00,4,0.0
2020-01-02 21:45:00,1,0.0
2020-01-02 21:50:00,5,0.0
2020-01-02 21:55:00,4,0.0
2020-01-02 22:00:00,1,0.0
2020-01-02 22:05:00,2,0.0
2020-01-02 22:10:00,2,0.0
2020-01-02 22:15:00,4,0.0
2020-01-02 22:20:00,3,0.0
2020-01-02 22:25:00,5,0.0
2020-01-02 22:30:00,6,0.0
2020-01-02 22:35:00,3,0.0
2020-01-02 22:40:00,5,0.0
2020-01-02 22:45:00,3,0.0
2020-01-02 22:50:00,5,0.0
2020-01-02 22:55:00,4,0.0
2020-01-02 23:00:00,7,0.0
2020-01-02 23:05:00,3,0.0
2020-01-02 23:10:00,2,0.0
2020-01-02 23:15:00,1,0.0
2020-01-02 23:20:00,12,0.0
2020-01-02 23:25:00,4,0.0
2020-01-02 23:30:00,5,0.0
2020-01-02 23:40:00,3,0.0
